depth,nx,ny,T,decode_T,pointwise_limit,x_pos,y_pos,product_offsets,cost,cost_per_mult,cost_per_decode_mult,max_adjacent_overlap,total_overlap,pointwise_overlap,is_prefill_pareto,is_decode_pareto,source
3,2,2,4,2,2,0 6,0 21,0 6 21 27,-9,-2.250000,-4.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 20,0 6 20 26,-8,-2.000000,-4.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 19,0 6 19 25,-7,-1.750000,-3.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 18,0 6 18 24,-6,-1.500000,-3.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 17,0 6 17 23,-5,-1.250000,-2.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 16,0 6 16 22,-4,-1.000000,-2.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 15,0 6 15 21,-3,-0.750000,-1.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 14,0 6 14 20,-2,-0.500000,-1.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 13,0 6 13 19,-1,-0.250000,-0.500000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 12,0 6 12 18,0,0.000000,0.000000,0,0,1,0,0,solver
3,2,2,4,2,2,0 6,0 11,0 6 11 17,1,0.250000,0.500000,1,1,2,0,0,solver
3,2,2,4,2,2,0 6,0 10,0 6 10 16,2,0.500000,1.000000,2,2,2,0,0,solver
3,2,2,4,2,2,0 6,0 9,0 6 9 15,3,0.750000,1.500000,3,3,2,0,0,solver
3,2,2,4,2,2,0 6,0 3,0 3 6 9,9,2.250000,4.500000,3,9,2,0,0,solver
3,2,2,4,2,2,0 5,0 23,0 5 23 28,-10,-2.500000,-5.000000,1,2,2,0,0,solver
3,2,2,4,2,2,0 5,0 22,0 5 22 27,-9,-2.250000,-4.500000,1,2,2,0,0,solver
3,2,2,4,2,2,0 5,0 21,0 5 21 26,-8,-2.000000,-4.000000,1,2,2,0,0,solver
